"~id","~labels","process_id","formatted_address","contact_phone","additional_info","latitude","name","system180_order","location","order_id","order_type","contact_email","longitude","address","bbox_id","gewicht","confidence","typ","y_max","x_min","laenge","confirmed","reuseable","reusable","zustand","farbe","image_name","breite","y_min","x_max","class","comp_id"
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:0","Order","PRODUCT_IMG2305.jpg_20250324_20250324","Amsterdam, Nordholland, Niederlande","017632308496","",52.3730796,"Order PRODUCT_IMG2305.jpg_20250324","1636123","Amsterdam, Nordholland, Niederlande","PRODUCT_IMG2305.jpg_20250324","online","jonas.brozeit@dfki.de",4.8924534,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:2","Location",,"Amsterdam, Nordholland, Niederlande",,,52.3730796,,,,,,,4.8924534,"Amsterdam, Nordholland, Niederlande",,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:425","Image",,,,,,"PRODUCT_IMG2305.jpg",,,,,,,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","Order","PRODUCT_IMG2305.jpg_20250316_20250316",,"0631205757006","",,"Order PRODUCT_IMG2305.jpg_20250316","676634","Kaiserslautern","PRODUCT_IMG2305.jpg_20250316",,"jonas.brozeit@dfki.de",,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Mutternstab 49","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,,49,"150-300 g",0.4247570335865021,"Strebe",117,280,null,"false","true","true","unbeschädigt","{'confidence': 0.93, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",null,111,302,"Mutternstab",
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:586","Image",,,,,,"DSC_7799.jpg",,,,,,,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:584","Image",,,,,,"System180_Static_Space_System_Lilac_1.jpg",,,,,,,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:530","Image",,,,,,"raumsysteme-openparti-74489-pro-b-arcit18.jpg",,,,,,,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:587","Order","DSC_7799.jpg_20250318_20250318",,"06315665765","",,"Order DSC_7799.jpg_20250318","5740934","GLM","DSC_7799.jpg_20250318",,"ansprechpartner@system180.de",,,,,,,,,,,,,,,,,,,,
"4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:460","Component","PRODUCT_IMG2305.jpg_20250315_20250315",,"0631205757006","",,"Gerade 48","679657","Kaiserslautern",,,"jonas.brozeit@dfki.de",,,48,"150-300 g",0.42512547969818115,"Strebe",290,0,270,"false","true","true","unbeschädigt","{'confidence': 0.81, 'erkannte_farbe': 'Edelstahl', 'hex_code': '#C0C0C0', 'ncs_code': '2500-N'}","PRODUCT_IMG2305.jpg",20,6,207,"Gerade",
