"~id","~start_node_id","~end_node_id","~relationship_type","name"
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1152928101676613632","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:0","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:2","LOCATED_AT",
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:6917530127152709632","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:425","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:0","PART_OF",
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1159684600629297577","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:425","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","SHOWS","SHOWS"
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1168685202814271949","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","PART_OF","PART_OF"
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1159682401606042061","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:586","BELONGS_TO",
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1157430601792356813","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:584","BELONGS_TO",
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1155178801978671565","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:530","BELONGS_TO",
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1152927002164986317","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:425","BELONGS_TO",
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1177692402069012941","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:461","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:587","PART_OF","PART_OF"
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1168685202814271948","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:460","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","PART_OF","PART_OF"
"5:6ced46c0-1554-4aa9-bfb7-ee33253863e7:1168685202814271947","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:459","4:6ced46c0-1554-4aa9-bfb7-ee33253863e7:467","PART_OF","PART_OF"
